Date	Time	Severity	PID	TID	Function	Message
30-06-2025	22:39:20.291	 INFO	 33664	  2056	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:39:20.298	 INFO	 33664	 28512	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:39:20.317	ERROR	 33664	 28512	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:39:20.319	 INFO	 33664	 28512	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:39:20.635	 INFO	 33664	 28512	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-06-2025	22:39:20.637	 INFO	 33664	 28512	Injector	"PolicyVersion : 1750846459"
30-06-2025	22:39:20.681	 INFO	 25892	 33748	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:39:20.684	 INFO	 25892	 10132	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:39:20.700	ERROR	 25892	 10132	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:39:20.702	 INFO	 25892	 10132	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:39:21.223	 INFO	 25892	 10132	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-06-2025	22:39:21.225	 INFO	 25892	 10132	Injector	"PolicyVersion : 1750846459"
30-06-2025	22:39:21.441	 INFO	 34708	 10472	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:39:21.449	 INFO	 34708	 31984	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:39:21.475	ERROR	 34708	 31984	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:39:21.478	 INFO	 34708	 31984	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:39:21.711	 INFO	 18508	 19116	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:39:21.714	 INFO	 18508	 31420	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:39:21.734	ERROR	 18508	 31420	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:39:21.737	 INFO	 18508	 31420	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:39:23.263	 INFO	 31568	 25824	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:39:23.269	 INFO	 31568	 10080	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:39:23.304	ERROR	 31568	 10080	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:39:23.310	 INFO	 31568	 10080	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:39:23.486	 INFO	 29796	 30320	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:39:23.491	 INFO	 29796	 16596	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:39:23.508	ERROR	 29796	 16596	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
