Date	Time	Severity	PID	TID	Function	Message
30-06-2025	22:39:20.632	 INFO	 33664	 28512	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-06-2025	22:39:20.635	 INFO	 33664	 23744	LateInitialization	"Intialization..."
30-06-2025	22:39:20.638	 INFO	 33664	 23744	LateInitialization	"Exe = C:\Users\praveen.kumar\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-06-2025	22:39:20.642	 INFO	 33664	 23744	LateInitialization	"IsExplorer = 0"
30-06-2025	22:39:20.644	 INFO	 33664	 23744	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-06-2025	22:39:20.647	 INFO	 33664	 23744	LateInitialization	"Intialization finished"
30-06-2025	22:39:21.221	 INFO	 25892	 10132	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-06-2025	22:39:21.223	 INFO	 25892	  1448	LateInitialization	"Intialization..."
30-06-2025	22:39:21.226	 INFO	 25892	  1448	LateInitialization	"Exe = C:\Users\praveen.kumar\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-06-2025	22:39:21.228	 INFO	 25892	  1448	LateInitialization	"IsExplorer = 0"
30-06-2025	22:39:21.230	 INFO	 25892	  1448	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-06-2025	22:39:21.233	 INFO	 25892	  1448	LateInitialization	"Intialization finished"
30-06-2025	22:39:23.766	 INFO	 31568	 10080	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-06-2025	22:39:23.770	 INFO	 31568	 30812	LateInitialization	"Intialization..."
30-06-2025	22:39:23.775	 INFO	 31568	 30812	LateInitialization	"Exe = C:\Users\praveen.kumar\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-06-2025	22:39:23.779	 INFO	 31568	 30812	LateInitialization	"IsExplorer = 0"
30-06-2025	22:39:23.782	 INFO	 31568	 30812	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-06-2025	22:39:23.785	 INFO	 31568	 30812	LateInitialization	"Intialization finished"
30-06-2025	22:39:24.954	 INFO	 20564	 21000	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-06-2025	22:39:24.958	 INFO	 20564	 12928	LateInitialization	"Intialization..."
30-06-2025	22:39:24.960	 INFO	 20564	 12928	LateInitialization	"Exe = C:\Users\praveen.kumar\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-06-2025	22:39:24.962	 INFO	 20564	 12928	LateInitialization	"IsExplorer = 0"
30-06-2025	22:39:24.964	 INFO	 20564	 12928	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-06-2025	22:39:24.967	 INFO	 20564	 12928	LateInitialization	"Intialization finished"
30-06-2025	22:39:25.104	 INFO	 28504	 15304	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-06-2025	22:39:25.107	 INFO	 28504	 12392	LateInitialization	"Intialization..."
30-06-2025	22:39:25.110	 INFO	 28504	 12392	LateInitialization	"Exe = C:\Users\praveen.kumar\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-06-2025	22:39:25.112	 INFO	 28504	 12392	LateInitialization	"IsExplorer = 0"
30-06-2025	22:39:25.114	 INFO	 28504	 12392	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-06-2025	22:39:25.117	 INFO	 28504	 12392	LateInitialization	"Intialization finished"
30-06-2025	22:39:52.620	 INFO	 30612	 20280	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-06-2025	22:39:52.624	 INFO	 30612	 13592	LateInitialization	"Intialization..."
30-06-2025	22:39:52.627	 INFO	 30612	 13592	LateInitialization	"Exe = C:\Users\praveen.kumar\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-06-2025	22:39:52.631	 INFO	 30612	 13592	LateInitialization	"IsExplorer = 0"
30-06-2025	22:39:52.635	 INFO	 30612	 13592	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-06-2025	22:39:52.639	 INFO	 30612	 13592	LateInitialization	"Intialization finished"
30-06-2025	22:39:52.750	 INFO	 29512	 23228	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-06-2025	22:39:52.753	 INFO	 29512	  2576	LateInitialization	"Intialization..."
