Date	Time	Severity	PID	TID	Function	Message
30-06-2025	22:39:20.531	 INFO	 33664	 28512	DllMain	"DLL_PROCESS_ATTACH 11:26:13 11.4.2516.10"
30-06-2025	22:39:20.540	 INFO	 33664	 28512	DllMain	"PROCESS ATTACHED"
30-06-2025	22:39:20.542	 INFO	 33664	 32256	LateInitialization	"Intialization..."
30-06-2025	22:39:20.545	 INFO	 33664	 32256	LoadDisplayDevicesName	"DisplayDevices : "
30-06-2025	22:39:20.550	 INFO	 33664	 32256	LoadDisplayDevicesName	"\\.\DISPLAY1"
30-06-2025	22:39:20.554	 INFO	 33664	 32256	LoadDisplayDevicesName	"\\.\DISPLAY2"
30-06-2025	22:39:20.557	 INFO	 33664	 32256	LoadDisplayDevicesName	"\\.\DISPLAY3"
30-06-2025	22:39:20.562	 INFO	 33664	 32256	LoadDisplayDevicesName	"\\.\DISPLAY4"
30-06-2025	22:39:20.565	 INFO	 33664	 32256	LoadDisplayDevicesName	"\\.\DISPLAY5"
30-06-2025	22:39:20.569	 INFO	 33664	 32256	LoadDisplayDevicesName	"\\.\DISPLAY6"
30-06-2025	22:39:20.573	 INFO	 33664	 32256	LoadDisplayDevicesName	"\\.\DISPLAY7"
30-06-2025	22:39:20.577	 INFO	 33664	 32256	LoadDisplayDevicesName	"\\.\DISPLAY8"
30-06-2025	22:39:20.580	 INFO	 33664	 32256	LoadDisplayDevicesName	"\\.\DISPLAY9"
30-06-2025	22:39:20.589	 INFO	 33664	 32256	LoadDisplayDevicesName	"\\.\DISPLAY10"
30-06-2025	22:39:20.593	 INFO	 33664	 32256	LoadDisplayDevicesName	"\\.\DISPLAY11"
30-06-2025	22:39:21.140	 INFO	 25892	 10132	DllMain	"DLL_PROCESS_ATTACH 11:26:13 11.4.2516.10"
30-06-2025	22:39:21.155	 INFO	 25892	 10132	DllMain	"PROCESS ATTACHED"
30-06-2025	22:39:21.159	 INFO	 25892	 34140	LateInitialization	"Intialization..."
30-06-2025	22:39:21.162	 INFO	 25892	 34140	LoadDisplayDevicesName	"DisplayDevices : "
30-06-2025	22:39:21.165	 INFO	 25892	 34140	LoadDisplayDevicesName	"\\.\DISPLAY1"
30-06-2025	22:39:21.168	 INFO	 25892	 34140	LoadDisplayDevicesName	"\\.\DISPLAY2"
