Date	Time	Severity	PID	TID	Function	Message
30-06-2025	22:04:29.408	 INFO	 13996	 22516	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:04:29.413	 INFO	 13996	  2308	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:04:29.433	ERROR	 13996	  2308	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:04:29.435	 INFO	 13996	  2308	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:04:29.735	 INFO	 13996	  2308	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-06-2025	22:04:29.737	 INFO	 13996	  2308	Injector	"PolicyVersion : 1750846459"
30-06-2025	22:04:30.903	 INFO	 32936	 33404	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:04:30.909	 INFO	 32936	 33304	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:04:30.926	ERROR	 32936	 33304	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:04:30.928	 INFO	 32936	 33304	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:04:31.085	 INFO	 25648	 13904	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:04:31.095	 INFO	 25648	 28780	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:04:31.117	ERROR	 25648	 28780	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:04:31.119	 INFO	 25648	 28780	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:04:31.290	 INFO	 34168	 30732	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:04:31.299	 INFO	 34168	 30556	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:04:31.335	ERROR	 34168	 30556	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:04:31.340	 INFO	 34168	 30556	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:04:31.404	 INFO	 32936	 33304	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-06-2025	22:04:31.421	 INFO	 32936	 33304	Injector	"PolicyVersion : 1750846459"
30-06-2025	22:04:31.582	 INFO	 25648	 28780	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-06-2025	22:04:31.584	 INFO	 25648	 28780	Injector	"PolicyVersion : 1750846459"
30-06-2025	22:04:48.502	 INFO	 24040	 26364	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:04:48.505	 INFO	 24040	 21656	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:04:48.516	ERROR	 24040	 21656	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:04:48.519	 INFO	 24040	 21656	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:04:48.785	 INFO	 24040	 21656	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-06-2025	22:04:48.788	 INFO	 24040	 21656	Injector	"PolicyVersion : 1750846459"
30-06-2025	22:04:49.980	 INFO	 33616	 32868	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:04:49.984	 INFO	 33616	 31648	InitializeCurrentProcessInfo	"0|0|0"
