Date	Time	Severity	PID	TID	Function	Message
30-06-2025	22:04:29.665	 INFO	 13996	  2308	DllMain	"DLL_PROCESS_ATTACH 11:26:13 11.4.2516.10"
30-06-2025	22:04:29.672	 INFO	 13996	  2308	DllMain	"PROCESS ATTACHED"
30-06-2025	22:04:29.674	 INFO	 13996	 23240	LateInitialization	"Intialization..."
30-06-2025	22:04:29.675	 INFO	 13996	 23240	LoadDisplayDevicesName	"DisplayDevices : "
30-06-2025	22:04:29.679	 INFO	 13996	 23240	LoadDisplayDevicesName	"\\.\DISPLAY1"
30-06-2025	22:04:29.681	 INFO	 13996	 23240	LoadDisplayDevicesName	"\\.\DISPLAY2"
30-06-2025	22:04:29.683	 INFO	 13996	 23240	LoadDisplayDevicesName	"\\.\DISPLAY3"
30-06-2025	22:04:29.686	 INFO	 13996	 23240	LoadDisplayDevicesName	"\\.\DISPLAY4"
30-06-2025	22:04:29.688	 INFO	 13996	 23240	LoadDisplayDevicesName	"\\.\DISPLAY5"
30-06-2025	22:04:29.691	 INFO	 13996	 23240	LoadDisplayDevicesName	"\\.\DISPLAY6"
30-06-2025	22:04:29.693	 INFO	 13996	 23240	LoadDisplayDevicesName	"\\.\DISPLAY7"
30-06-2025	22:04:29.695	 INFO	 13996	 23240	LoadDisplayDevicesName	"\\.\DISPLAY8"
30-06-2025	22:04:29.697	 INFO	 13996	 23240	LoadDisplayDevicesName	"\\.\DISPLAY9"
30-06-2025	22:04:29.699	 INFO	 13996	 23240	LoadDisplayDevicesName	"\\.\DISPLAY10"
30-06-2025	22:04:29.701	 INFO	 13996	 23240	LoadDisplayDevicesName	"\\.\DISPLAY11"
30-06-2025	22:04:31.267	 INFO	 32936	 33304	DllMain	"DLL_PROCESS_ATTACH 11:26:13 11.4.2516.10"
30-06-2025	22:04:31.279	 INFO	 32936	 33304	DllMain	"PROCESS ATTACHED"
30-06-2025	22:04:31.295	 INFO	 32936	 33112	LateInitialization	"Intialization..."
30-06-2025	22:04:31.297	 INFO	 32936	 33112	LoadDisplayDevicesName	"DisplayDevices : "
30-06-2025	22:04:31.304	 INFO	 32936	 33112	LoadDisplayDevicesName	"\\.\DISPLAY1"
30-06-2025	22:04:31.308	 INFO	 32936	 33112	LoadDisplayDevicesName	"\\.\DISPLAY2"
30-06-2025	22:04:31.312	 INFO	 32936	 33112	LoadDisplayDevicesName	"\\.\DISPLAY3"
30-06-2025	22:04:31.319	 INFO	 32936	 33112	LoadDisplayDevicesName	"\\.\DISPLAY4"
30-06-2025	22:04:31.336	 INFO	 32936	 33112	LoadDisplayDevicesName	"\\.\DISPLAY5"
30-06-2025	22:04:31.339	 INFO	 32936	 33112	LoadDisplayDevicesName	"\\.\DISPLAY6"
30-06-2025	22:04:31.341	 INFO	 32936	 33112	LoadDisplayDevicesName	"\\.\DISPLAY7"
30-06-2025	22:04:31.348	 INFO	 32936	 33112	LoadDisplayDevicesName	"\\.\DISPLAY8"
30-06-2025	22:04:31.354	 INFO	 32936	 33112	LoadDisplayDevicesName	"\\.\DISPLAY9"
30-06-2025	22:04:31.359	 INFO	 32936	 33112	LoadDisplayDevicesName	"\\.\DISPLAY10"
30-06-2025	22:04:31.363	 INFO	 32936	 33112	LoadDisplayDevicesName	"\\.\DISPLAY11"
30-06-2025	22:04:31.505	 INFO	 25648	 28780	DllMain	"DLL_PROCESS_ATTACH 11:26:13 11.4.2516.10"
30-06-2025	22:04:31.511	 INFO	 25648	 28780	DllMain	"PROCESS ATTACHED"
30-06-2025	22:04:31.513	 INFO	 25648	 29280	LateInitialization	"Intialization..."
30-06-2025	22:04:31.515	 INFO	 25648	 29280	LoadDisplayDevicesName	"DisplayDevices : "
30-06-2025	22:04:31.518	 INFO	 25648	 29280	LoadDisplayDevicesName	"\\.\DISPLAY1"
30-06-2025	22:04:31.521	 INFO	 25648	 29280	LoadDisplayDevicesName	"\\.\DISPLAY2"
30-06-2025	22:04:31.523	 INFO	 25648	 29280	LoadDisplayDevicesName	"\\.\DISPLAY3"
30-06-2025	22:04:31.526	 INFO	 25648	 29280	LoadDisplayDevicesName	"\\.\DISPLAY4"
30-06-2025	22:04:31.529	 INFO	 25648	 29280	LoadDisplayDevicesName	"\\.\DISPLAY5"
30-06-2025	22:04:31.531	 INFO	 25648	 29280	LoadDisplayDevicesName	"\\.\DISPLAY6"
30-06-2025	22:04:31.534	 INFO	 25648	 29280	LoadDisplayDevicesName	"\\.\DISPLAY7"
30-06-2025	22:04:31.536	 INFO	 25648	 29280	LoadDisplayDevicesName	"\\.\DISPLAY8"
